exam_center,CENTRE CATEGORY,CENTRE POSITION IN ITS CATEGORY(NATIONWISE),CENTRE POSITION IN ITS CATEGORY(REGIONWISE),EXAMINATION CENTRE GPA,EXAMINATION CENTRE REGION,TOTAL PASSED CANDIDATES,REGIST,ABSENT,SAT,WITHHELD,NO-CA,CLEAN,DIV I,DIV II,DIV III,DIV IV,DIV 0
S0310 FOREST HILL,CENTRE WITH 40 CANDIDATES OR MORE,585/3488,28/159,3.4867,MOROGORO,106,111,1,110,0,0,110,5,23,28,50,4
S0312 HIGHLANDS,CENTRE WITH 40 CANDIDATES OR MORE,787/3488,29/130,3.7185,IRINGA,137,155,1,154,0,0,154,4,29,33,71,17
S0313 IKIZU,CENTRE WITH 40 CANDIDATES OR MORE,267/3488,6/157,2.9021,MARA,119,119,0,119,0,0,119,16,47,35,21,0
S0314 KAZIMA,CENTRE WITH 40 CANDIDATES OR MORE,458/3488,12/98,3.2983,TABORA,49,55,1,54,0,0,54,4,18,9,18,5
S0316 KIBASILA,CENTRE WITH 40 CANDIDATES OR MORE,236/3488,31/239,2.7754,DAR ES SALAAM,193,203,2,201,0,0,201,30,96,51,16,8
S0317 KIBO,CENTRE WITH 40 CANDIDATES OR MORE,2328/3488,189/270,4.1750,KILIMANJARO,47,53,1,52,0,0,52,0,1,5,41,5
S0318 KIBOHEHE,CENTRE WITH 40 CANDIDATES OR MORE,1478/3488,120/270,3.9889,KILIMANJARO,44,54,3,51,0,0,51,1,4,8,31,7
S0321 KINONDONI,CENTRE WITH LESS THAN 40 CANDIDATES,343/1371,25/62,3.7267,DAR ES SALAAM,25,30,0,30,0,0,30,2,3,8,12,5
S0323 LAKE,CENTRE WITH 40 CANDIDATES OR MORE,196/3488,18/241,2.6588,MWANZA,72,72,0,72,0,0,72,14,29,22,7,0
S0324 LINDI,CENTRE WITH 40 CANDIDATES OR MORE,777/3488,4/45,3.7134,LINDI,123,135,6,129,0,0,129,1,14,35,73,6
S0325 LUGALO,CENTRE WITH 40 CANDIDATES OR MORE,2005/3488,83/130,4.1045,IRINGA,111,146,4,142,0,0,142,1,5,24,81,31
S0326 LUMUMBA,CENTRE WITH 40 CANDIDATES OR MORE,71/3488,1/57,2.1066,MJINI MAGHARIBI,112,112,0,112,0,0,112,53,52,7,0,0
S0327 MINJA,CENTRE WITH 40 CANDIDATES OR MORE,1207/3488,96/270,3.9050,KILIMANJARO,49,57,0,57,0,0,57,0,6,15,28,8
S0328 MAWENZI,CENTRE WITH 40 CANDIDATES OR MORE,253/3488,31/270,2.8391,KILIMANJARO,111,119,0,119,0,0,119,20,55,22,14,8
S0329 MAKUMIRA,CENTRE WITH 40 CANDIDATES OR MORE,639/3488,40/173,3.5753,ARUSHA,99,106,0,106,0,0,106,4,19,31,45,7
S0330 MBEYA,CENTRE WITH 40 CANDIDATES OR MORE,529/3488,24/174,3.3896,MBEYA,220,233,0,233,0,0,233,24,45,70,81,13
S0331 MKONGE,CENTRE WITH 40 CANDIDATES OR MORE,3177/3488,33/45,4.3941,LINDI,61,105,1,104,0,0,104,0,2,11,48,43
S0332 MOROGORO,CENTRE WITH 40 CANDIDATES OR MORE,1130/3488,46/159,3.8765,MOROGORO,268,325,5,320,0,0,320,8,29,67,164,52
S0333 MWANZA,CENTRE WITH 40 CANDIDATES OR MORE,1743/3488,118/241,4.0475,MWANZA,307,453,11,442,0,0,442,6,41,69,191,135
S0335 MZIZIMA,CENTRE WITH LESS THAN 40 CANDIDATES,396/1371,27/62,3.7949,DAR ES SALAAM,21,26,3,23,0,0,23,0,3,6,12,2
S0340 POPATLAL,CENTRE WITH LESS THAN 40 CANDIDATES,657/1371,16/92,4.0026,TANGA,17,27,1,26,0,0,26,0,2,8,7,9
S0341 SANGU,CENTRE WITH 40 CANDIDATES OR MORE,1224/3488,82/174,3.9098,MBEYA,188,222,1,221,0,0,221,5,21,47,115,33
S0342 SHAABAN ROBERT,CENTRE WITH 40 CANDIDATES OR MORE,346/3488,42/239,3.0888,DAR ES SALAAM,122,123,1,122,0,0,122,16,37,32,37,0
S0345 USAGARA,CENTRE WITH 40 CANDIDATES OR MORE,635/3488,23/188,3.5709,TANGA,181,208,1,207,0,0,207,15,45,42,79,26
S0346 UYUI,CENTRE WITH 40 CANDIDATES OR MORE,1270/3488,49/98,3.9224,TABORA,37,42,1,41,3,0,38,0,0,10,27,1
S0348 TUMAINI,CENTRE WITH 40 CANDIDATES OR MORE,371/3488,6/98,3.1462,SINGIDA,76,78,0,78,0,0,78,8,30,13,25,2
S0349 MANKA,CENTRE WITH LESS THAN 40 CANDIDATES,601/1371,24/46,3.9575,KILIMANJARO,27,34,0,34,0,0,34,0,4,8,15,7
S0353 PARANE,CENTRE WITH 40 CANDIDATES OR MORE,510/3488,56/270,3.3695,KILIMANJARO,71,72,1,71,0,0,71,1,19,30,21,0
S0354 JITENGENI,CENTRE WITH 40 CANDIDATES OR MORE,1280/3488,100/270,3.9265,KILIMANJARO,68,78,3,75,0,0,75,1,5,12,50,7
S0355 LOMWE,CENTRE WITH 40 CANDIDATES OR MORE,500/3488,54/270,3.3575,KILIMANJARO,91,93,1,92,0,0,92,5,21,34,31,1
S0356 VUNJO,CENTRE WITH 40 CANDIDATES OR MORE,1072/3488,90/270,3.8532,KILIMANJARO,104,112,0,112,0,0,112,0,11,25,68,8
S0357 URU,CENTRE WITH 40 CANDIDATES OR MORE,264/3488,35/270,2.8874,KILIMANJARO,98,99,1,98,0,0,98,6,46,36,10,0
S0358 SHIGHATINI,CENTRE WITH LESS THAN 40 CANDIDATES,380/1371,17/46,3.7798,KILIMANJARO,22,27,1,26,0,0,26,0,3,10,9,4
S0359 KIGURUNYEMBE,CENTRE WITH 40 CANDIDATES OR MORE,913/3488,41/159,3.7841,MOROGORO,132,162,3,159,0,0,159,6,20,34,72,27
S0360 KISHOJU,CENTRE WITH 40 CANDIDATES OR MORE,2252/3488,141/200,4.1561,KAGERA,80,107,0,107,0,0,107,0,8,13,59,27
S0361 SINGE,CENTRE WITH 40 CANDIDATES OR MORE,477/3488,9/98,3.3240,MANYARA,212,215,0,215,0,0,215,7,58,71,76,3
S0362 IHANJA,CENTRE WITH 40 CANDIDATES OR MORE,751/3488,12/98,3.6838,SINGIDA,81,84,1,83,0,0,83,0,11,26,44,2
S0363 MWADUI,CENTRE WITH 40 CANDIDATES OR MORE,590/3488,15/108,3.4971,SHINYANGA,115,116,1,115,0,0,115,4,18,44,49,0
S0367 KILOSA,CENTRE WITH 40 CANDIDATES OR MORE,556/3488,27/159,3.4439,MOROGORO,161,176,0,176,1,0,175,18,38,40,65,14
S0368 IMBORU,CENTRE WITH 40 CANDIDATES OR MORE,630/3488,15/98,3.5680,MANYARA,41,41,0,41,0,0,41,0,4,21,16,0
S0371 LOMBETA,CENTRE WITH 40 CANDIDATES OR MORE,1222/3488,97/270,3.9095,KILIMANJARO,48,53,1,52,0,0,52,0,6,9,33,4
S0372 KIRUA,CENTRE WITH 40 CANDIDATES OR MORE,380/3488,44/270,3.1610,KILIMANJARO,86,86,0,86,0,0,86,5,23,42,16,0
S0373 ITOPE,CENTRE WITH 40 CANDIDATES OR MORE,2674/3488,161/174,4.2535,MBEYA,42,64,3,61,0,0,61,1,2,4,35,19
S0374 LUPATA,CENTRE WITH 40 CANDIDATES OR MORE,1026/3488,69/174,3.8405,MBEYA,87,104,3,101,5,0,96,0,6,27,54,9
S0375 JUMUIYA,CENTRE WITH 40 CANDIDATES OR MORE,1068/3488,39/188,3.8522,TANGA,48,56,1,55,0,0,55,1,6,12,29,7
S0376 SONI SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,252/3488,10/188,2.8382,TANGA,50,50,0,50,0,0,50,6,23,17,4,0
S0378 HEGONGO HOLY CROSS,CENTRE WITH 40 CANDIDATES OR MORE,673/3488,28/188,3.6087,TANGA,45,45,0,45,0,0,45,0,5,19,21,0
S0380 UCHAMA,CENTRE WITH 40 CANDIDATES OR MORE,293/3488,10/98,2.9781,TABORA,61,62,0,62,1,0,61,2,20,32,7,0
S0381 UTAANI,CENTRE WITH 40 CANDIDATES OR MORE,1926/3488,3/21,4.0894,KASKAZINI PEMBA,88,107,0,107,2,0,105,1,3,22,62,17
S0382 TUMEKUJA,CENTRE WITH 40 CANDIDATES OR MORE,218/3488,3/57,2.7310,MJINI MAGHARIBI,122,122,0,122,0,0,122,11,71,36,4,0
S0383 BEN BELLA,CENTRE WITH 40 CANDIDATES OR MORE,471/3488,12/57,3.3184,MJINI MAGHARIBI,144,145,1,144,0,0,144,2,39,62,41,0
S0384 MIKUNGUNI,CENTRE WITH 40 CANDIDATES OR MORE,328/3488,6/57,3.0574,MJINI MAGHARIBI,47,48,1,47,0,0,47,6,16,14,11,0
S0385 UJIJI,CENTRE WITH 40 CANDIDATES OR MORE,1188/3488,55/113,3.8983,KIGOMA,79,133,3,130,41,0,89,1,9,12,57,10
S0386 GEITA,CENTRE WITH 40 CANDIDATES OR MORE,2068/3488,64/95,4.1176,GEITA,217,325,3,322,0,0,322,3,29,37,148,105
S0387 KARAGWE,CENTRE WITH 40 CANDIDATES OR MORE,273/3488,15/200,2.9191,KAGERA,95,95,0,95,0,0,95,11,32,38,14,0
S0388 MARANGU,CENTRE WITH 40 CANDIDATES OR MORE,284/3488,38/270,2.9502,KILIMANJARO,202,202,0,202,0,0,202,19,73,81,29,0
S0389 SHAURITANGA,CENTRE WITH 40 CANDIDATES OR MORE,738/3488,76/270,3.6773,KILIMANJARO,128,136,2,134,0,0,134,1,16,47,64,6
S0390 HAMAMNI,CENTRE WITH 40 CANDIDATES OR MORE,3474/3488,57/57,4.6762,MJINI MAGHARIBI,69,175,4,171,0,0,171,0,0,4,65,102
S0391 HAILE SELASSIE,CENTRE WITH 40 CANDIDATES OR MORE,3398/3488,54/57,4.5187,MJINI MAGHARIBI,145,253,5,248,0,0,248,0,2,11,132,103
S0392 VIKOKOTONI,CENTRE WITH 40 CANDIDATES OR MORE,727/3488,18/57,3.6678,MJINI MAGHARIBI,188,195,4,191,0,0,191,5,11,77,95,3
S0395 BOZA,CENTRE WITH LESS THAN 40 CANDIDATES,1079/1371,53/92,4.2778,TANGA,8,13,0,13,0,0,13,0,1,2,5,5
S0397 RULENGE,CENTRE WITH 40 CANDIDATES OR MORE,243/3488,13/200,2.7974,KAGERA,95,95,0,95,0,0,95,16,38,30,11,0
S0400 SHAMIANI,CENTRE WITH 40 CANDIDATES OR MORE,3145/3488,12/29,4.3819,KUSINI PEMBA,94,146,2,144,1,0,143,0,0,19,75,49
S0402 MKWAJUNI,CENTRE WITH 40 CANDIDATES OR MORE,3412/3488,14/20,4.5350,KASKAZINI UNGUJA,113,215,6,209,0,0,209,0,3,9,101,96
S0403 MAKUNDUCHI,CENTRE WITH 40 CANDIDATES OR MORE,3368/3488,17/20,4.4967,KUSINI UNGUJA,56,104,0,104,0,0,104,0,2,6,48,48
S0405 BIHARAMULO,CENTRE WITH 40 CANDIDATES OR MORE,672/3488,48/200,3.6075,KAGERA,123,127,2,125,0,0,125,6,16,30,71,2
S0406 KASHOZI,CENTRE WITH 40 CANDIDATES OR MORE,1795/3488,106/200,4.0607,KAGERA,122,158,3,155,0,0,155,0,11,27,84,33
S0407 MUGEZA,CENTRE WITH 40 CANDIDATES OR MORE,1458/3488,87/200,3.9839,KAGERA,73,93,3,90,0,0,90,3,4,15,51,17
S0409 MORINGE SOKOINE,CENTRE WITH 40 CANDIDATES OR MORE,433/3488,29/173,3.2429,ARUSHA,140,143,3,140,0,0,140,4,45,45,46,0
S0411 KONDE,CENTRE WITH 40 CANDIDATES OR MORE,3428/3488,19/21,4.5542,KASKAZINI PEMBA,67,119,0,119,0,0,119,1,0,2,64,52
S0412 KANGANI,CENTRE WITH 40 CANDIDATES OR MORE,3002/3488,10/29,4.3329,KUSINI PEMBA,72,88,1,87,0,0,87,0,1,4,67,15
S0414 IAMBI,CENTRE WITH 40 CANDIDATES OR MORE,240/3488,4/98,2.7868,SINGIDA,27,54,0,54,27,0,27,3,11,13,0,0
S0417 MWAKALELI,CENTRE WITH 40 CANDIDATES OR MORE,605/3488,29/174,3.5190,MBEYA,48,52,4,48,0,0,48,1,6,17,24,0
S0418 LUTENGANO,CENTRE WITH 40 CANDIDATES OR MORE,607/3488,30/174,3.5250,MBEYA,50,59,1,58,3,0,55,3,14,12,21,5
S0419 CHOME,CENTRE WITH 40 CANDIDATES OR MORE,771/3488,78/270,3.7090,KILIMANJARO,71,71,0,71,0,0,71,0,6,25,40,0
S0420 CHANJALE SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,130/3488,18/270,2.4001,KILIMANJARO,54,54,0,54,0,0,54,11,37,6,0,0
S0426 WANGING'OMBE,CENTRE WITH 40 CANDIDATES OR MORE,1244/3488,34/89,3.9160,NJOMBE,123,144,6,138,0,0,138,4,8,28,83,15
S0427 MAKAMBAKO,CENTRE WITH 40 CANDIDATES OR MORE,1342/3488,37/89,3.9481,NJOMBE,173,228,5,223,0,0,223,5,18,39,111,50
S0428 MPECHI,CENTRE WITH 40 CANDIDATES OR MORE,1101/3488,30/89,3.8643,NJOMBE,133,154,0,154,0,0,154,2,16,28,87,21
S0429 LUPEMBE,CENTRE WITH 40 CANDIDATES OR MORE,2887/3488,84/89,4.3036,NJOMBE,59,82,0,82,0,0,82,0,1,9,49,23
S0430 UWEMBA,CENTRE WITH 40 CANDIDATES OR MORE,2393/3488,70/89,4.1884,NJOMBE,96,120,0,120,0,0,120,1,5,8,82,24
S0431 MTWANGO,CENTRE WITH 40 CANDIDATES OR MORE,1712/3488,51/89,4.0405,NJOMBE,36,46,1,45,0,0,45,0,4,8,24,9
S0432 JABAL-HIRA MUSLIM JUNIOR SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,1050/3488,44/159,3.8474,MOROGORO,43,50,1,49,0,0,49,1,4,12,26,6
S0435 BISHOP MOSHI,CENTRE WITH LESS THAN 40 CANDIDATES,478/1371,19/46,3.8760,KILIMANJARO,33,39,2,37,0,0,37,0,6,5,22,4
S0436 KAFULE,CENTRE WITH 40 CANDIDATES OR MORE,2347/3488,50/70,4.1790,SONGWE,56,67,1,66,0,0,66,0,3,6,47,10
S0438 MASJID QUBAH MUSLIM SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,3479/3488,239/239,4.6973,DAR ES SALAAM,15,43,2,41,0,0,41,0,0,0,15,26
S0439 BUPANDAGILA,CENTRE WITH 40 CANDIDATES OR MORE,314/3488,5/70,3.0342,SIMIYU,48,48,0,48,0,0,48,5,13,25,5,0
S0441 KILWA,CENTRE WITH 40 CANDIDATES OR MORE,3106/3488,32/45,4.3707,LINDI,59,127,4,123,0,0,123,0,9,10,40,64
S0442 BUHANGIJA,CENTRE WITH 40 CANDIDATES OR MORE,906/3488,24/108,3.7821,SHINYANGA,86,98,1,97,0,0,97,3,12,22,49,11
S0443 META,CENTRE WITH 40 CANDIDATES OR MORE,892/3488,55/174,3.7742,MBEYA,86,99,5,94,0,0,94,1,12,28,45,8
S0444 ITAMBA,CENTRE WITH 40 CANDIDATES OR MORE,547/3488,16/89,3.4228,NJOMBE,50,54,2,52,0,0,52,3,8,22,17,2
S0445 MWEMBETOGWA,CENTRE WITH 40 CANDIDATES OR MORE,674/3488,26/130,3.6105,IRINGA,36,44,2,42,0,0,42,1,9,12,14,6
S0446 MGOLOLO,CENTRE WITH 40 CANDIDATES OR MORE,1420/3488,54/130,3.9726,IRINGA,90,109,1,108,0,0,108,1,10,18,61,18
S0447 MDABULO,CENTRE WITH 40 CANDIDATES OR MORE,2284/3488,98/130,4.1636,IRINGA,99,136,4,132,0,0,132,1,5,14,79,33
S0448 SADANI,CENTRE WITH 40 CANDIDATES OR MORE,553/3488,21/130,3.4354,IRINGA,133,139,3,136,0,0,136,6,29,44,54,3
S0449 J.J.MUNGAI,CENTRE WITH 40 CANDIDATES OR MORE,1620/3488,67/130,4.0232,IRINGA,149,185,7,178,0,0,178,3,8,35,103,29
S0450 USOKE,CENTRE WITH 40 CANDIDATES OR MORE,712/3488,18/98,3.6537,TABORA,34,42,1,41,1,0,40,2,8,9,15,6
S0451 ENDAROFTA,CENTRE WITH 40 CANDIDATES OR MORE,343/3488,22/173,3.0841,ARUSHA,56,56,0,56,0,0,56,3,22,20,11,0
S0452 MADUNGA,CENTRE WITH LESS THAN 40 CANDIDATES,99/1371,1/52,3.1505,MANYARA,31,31,0,31,0,0,31,2,8,16,5,0
S0454 ST. JOSEPH NGARENARO,CENTRE WITH 40 CANDIDATES OR MORE,513/3488,35/173,3.3717,ARUSHA,59,60,0,60,0,0,60,2,12,24,21,1
S0455 TWEYAMBE,CENTRE WITH 40 CANDIDATES OR MORE,767/3488,55/200,3.7030,KAGERA,58,68,2,66,0,0,66,1,8,21,28,8
S0456 KINANGO,CENTRE WITH 40 CANDIDATES OR MORE,1111/3488,77/241,3.8696,MWANZA,218,255,2,253,0,0,253,3,26,50,139,35
S0457 IGAWILO,CENTRE WITH 40 CANDIDATES OR MORE,1144/3488,76/174,3.8809,MBEYA,153,179,4,175,0,0,175,1,21,34,97,22
S0459 NATIRO,CENTRE WITH 40 CANDIDATES OR MORE,420/3488,49/270,3.2180,KILIMANJARO,77,78,1,77,0,0,77,3,20,32,22,0
S0460 IRAMBO,CENTRE WITH 40 CANDIDATES OR MORE,1388/3488,92/174,3.9632,MBEYA,35,47,5,42,0,0,42,0,3,11,21,7
S0461 JOHN PAUL II KAHAMA,CENTRE WITH 40 CANDIDATES OR MORE,214/3488,6/108,2.7158,SHINYANGA,105,108,2,106,0,0,106,25,36,28,16,1
S0462 WIGEHE,CENTRE WITH LESS THAN 40 CANDIDATES,415/1371,14/30,3.8217,SHINYANGA,37,39,0,39,0,0,39,1,4,7,25,2
S0463 NGOREME,CENTRE WITH 40 CANDIDATES OR MORE,1722/3488,64/157,4.0423,MARA,53,75,6,69,0,0,69,0,9,7,37,16
S0464 KILOMBERO,CENTRE WITH 40 CANDIDATES OR MORE,2992/3488,132/159,4.3314,MOROGORO,94,168,1,167,0,0,167,2,5,16,71,73
S0465 JAMHURI,CENTRE WITH 40 CANDIDATES OR MORE,-,-,-,DODOMA,-,115,2,113,113,0,0,0,0,0,0,0
S0467 NYUKI,CENTRE WITH 40 CANDIDATES OR MORE,2481/3488,29/57,4.2062,MJINI MAGHARIBI,45,58,0,58,0,0,58,1,0,8,36,13
S0468 KIRIKI,CENTRE WITH LESS THAN 40 CANDIDATES,706/1371,27/46,4.0344,KILIMANJARO,33,39,0,39,0,0,39,1,4,3,25,6
S0471 MBOZI,CENTRE WITH 40 CANDIDATES OR MORE,845/3488,19/70,3.7511,SONGWE,50,52,2,50,0,0,50,0,6,13,31,0
S0472 IPINDA,CENTRE WITH 40 CANDIDATES OR MORE,2112/3488,137/174,4.1281,MBEYA,118,156,1,155,0,0,155,1,7,28,82,37
S0473 KANYIGO,CENTRE WITH 40 CANDIDATES OR MORE,174/3488,10/200,2.5913,KAGERA,154,156,2,154,0,0,154,25,83,41,5,0
S0474 KISOMACHI,CENTRE WITH 40 CANDIDATES OR MORE,502/3488,55/270,3.3632,KILIMANJARO,106,106,0,106,0,0,106,1,29,37,39,0
S0475 KIDIA,CENTRE WITH LESS THAN 40 CANDIDATES,1224/1371,42/46,4.4012,KILIMANJARO,14,25,1,24,0,0,24,0,1,2,11,10
S0476 MWANGAZA,CENTRE WITH 40 CANDIDATES OR MORE,1719/3488,15/29,4.0419,KATAVI,143,185,6,179,0,0,179,2,14,28,99,36
S0477 CHIMALA,CENTRE WITH 40 CANDIDATES OR MORE,844/3488,52/174,3.7500,MBEYA,41,49,1,48,0,0,48,1,7,11,22,7
S0478 KIPOKE,CENTRE WITH 40 CANDIDATES OR MORE,737/3488,39/174,3.6764,MBEYA,138,147,5,142,0,0,142,0,17,48,73,4
S0479 NRONGA,CENTRE WITH 40 CANDIDATES OR MORE,543/3488,60/270,3.4203,KILIMANJARO,53,57,2,55,0,0,55,5,8,19,21,2
S0480 NSOO,CENTRE WITH 40 CANDIDATES OR MORE,523/3488,59/270,3.3848,KILIMANJARO,100,101,0,101,0,0,101,3,20,43,34,1
S0482 ILUHYA,CENTRE WITH 40 CANDIDATES OR MORE,265/3488,14/200,2.8963,KAGERA,105,106,1,105,0,0,105,15,37,41,12,0
S0484 MKINGA,CENTRE WITH 40 CANDIDATES OR MORE,389/3488,11/115,3.1808,RUVUMA,61,62,1,61,0,0,61,3,18,20,20,0
S0485 MAJENGO,CENTRE WITH 40 CANDIDATES OR MORE,615/3488,66/270,3.5412,KILIMANJARO,303,340,2,338,2,0,336,24,44,105,130,33
S0486 UOMBONI,CENTRE WITH 40 CANDIDATES OR MORE,595/3488,65/270,3.5027,KILIMANJARO,90,95,2,93,0,0,93,4,18,25,43,3
S0487 MADUNDA,CENTRE WITH 40 CANDIDATES OR MORE,2573/3488,73/89,4.2290,NJOMBE,64,96,9,87,0,0,87,0,2,12,50,23
S0488 RUTABO,CENTRE WITH 40 CANDIDATES OR MORE,2491/3488,156/200,4.2094,KAGERA,74,117,4,113,0,0,113,2,6,10,56,39
S0489 SUJI,CENTRE WITH 40 CANDIDATES OR MORE,147/3488,21/270,2.4806,KILIMANJARO,41,41,0,41,0,0,41,5,33,3,0,0
S0490 SHEMSANGA,CENTRE WITH 40 CANDIDATES OR MORE,2359/3488,92/188,4.1817,TANGA,57,81,0,81,0,0,81,0,6,9,42,24
S0491 KILOMENI,CENTRE WITH 40 CANDIDATES OR MORE,215/3488,29/270,2.7274,KILIMANJARO,78,78,0,78,0,0,78,10,35,31,2,0
S0492 KISHUMUNDU,CENTRE WITH 40 CANDIDATES OR MORE,729/3488,74/270,3.6690,KILIMANJARO,52,57,1,56,0,0,56,2,4,22,24,4
S0493 AL-HARAMAIN ISLAMIC SEMINARY,CENTRE WITH 40 CANDIDATES OR MORE,535/3488,63/239,3.4042,DAR ES SALAAM,63,66,0,66,0,0,66,1,18,25,19,3
S0495 MILALA,CENTRE WITH 40 CANDIDATES OR MORE,598/3488,2/29,3.5076,KATAVI,41,47,3,44,0,0,44,1,13,11,16,3
S0496 JITEGEMEE,CENTRE WITH 40 CANDIDATES OR MORE,2339/3488,152/239,4.1770,DAR ES SALAAM,357,493,9,484,1,0,483,3,18,63,273,126
S0498 DINDIMO,CENTRE WITH LESS THAN 40 CANDIDATES,1003/1371,32/46,4.2269,KILIMANJARO,19,28,1,27,0,0,27,0,0,5,14,8
S0499 OLALENI,CENTRE WITH 40 CANDIDATES OR MORE,255/3488,32/270,2.8425,KILIMANJARO,146,146,0,146,0,0,146,11,66,61,8,0
S0500 WANIKE,CENTRE WITH 40 CANDIDATES OR MORE,1412/3488,39/89,3.9702,NJOMBE,108,122,3,119,0,0,119,2,10,12,84,11
S0501 UWELENI,CENTRE WITH 40 CANDIDATES OR MORE,3319/3488,21/29,4.4661,KUSINI PEMBA,82,133,6,127,1,0,126,0,0,5,77,44
S0503 LYAKIRIMU,CENTRE WITH 40 CANDIDATES OR MORE,1523/3488,122/270,4.0008,KILIMANJARO,157,200,1,199,0,0,199,2,22,32,101,42
S0504 MRIKE,CENTRE WITH 40 CANDIDATES OR MORE,467/3488,52/270,3.3116,KILIMANJARO,86,87,0,87,0,0,87,3,24,36,23,1
S0505 EKENYWA,CENTRE WITH 40 CANDIDATES OR MORE,1094/3488,65/173,3.8629,ARUSHA,41,53,2,51,9,0,42,1,2,9,29,1
S0506 UNGWASI,CENTRE WITH 40 CANDIDATES OR MORE,732/3488,75/270,3.6738,KILIMANJARO,79,81,1,80,0,0,80,1,9,25,44,1
S0507 ITENGULE,CENTRE WITH 40 CANDIDATES OR MORE,934/3488,34/130,3.7958,IRINGA,56,62,3,59,0,0,59,0,7,16,33,3
S0508 MLAMA,CENTRE WITH 40 CANDIDATES OR MORE,268/3488,36/270,2.9067,KILIMANJARO,104,104,0,104,0,0,104,11,45,32,16,0
S0509 UCHIRA,CENTRE WITH 40 CANDIDATES OR MORE,1476/3488,119/270,3.9882,KILIMANJARO,56,69,1,68,0,0,68,1,4,18,33,12
S0510 HOROMBO,CENTRE WITH 40 CANDIDATES OR MORE,1326/3488,105/270,3.9431,KILIMANJARO,93,122,1,121,0,0,121,5,18,16,54,28
S0511 HANDENI,CENTRE WITH 40 CANDIDATES OR MORE,2298/3488,90/188,4.1685,TANGA,125,185,2,183,0,0,183,1,11,27,86,58
S0513 MIHAYO,CENTRE WITH 40 CANDIDATES OR MORE,309/3488,11/98,3.0234,TABORA,178,181,0,181,3,0,178,8,67,79,24,0
S0514 UROKI,CENTRE WITH 40 CANDIDATES OR MORE,671/3488,70/270,3.6067,KILIMANJARO,76,78,0,78,0,0,78,1,18,17,40,2
S0515 ILULA,CENTRE WITH 40 CANDIDATES OR MORE,2031/3488,85/130,4.1096,IRINGA,101,140,4,136,0,0,136,1,7,23,70,35
S0516 MOMBO,CENTRE WITH LESS THAN 40 CANDIDATES,242/1371,7/92,3.5578,TANGA,32,33,0,33,0,0,33,0,4,16,12,1
S0517 KILI,CENTRE WITH 40 CANDIDATES OR MORE,1030/3488,36/98,3.8424,TABORA,49,58,3,55,0,0,55,2,7,6,34,6
S0518 KANAWA,CENTRE WITH 40 CANDIDATES OR MORE,653/3488,18/108,3.5919,SHINYANGA,130,135,4,131,0,0,131,1,17,54,58,1
S0519 LALAGO,CENTRE WITH 40 CANDIDATES OR MORE,594/3488,12/70,3.4993,SIMIYU,124,141,8,133,0,0,133,3,31,44,46,9
S0520 BUYANGO,CENTRE WITH 40 CANDIDATES OR MORE,2587/3488,163/200,4.2330,KAGERA,53,75,3,72,0,0,72,0,2,6,45,19
S0521 MATOMBO,CENTRE WITH 40 CANDIDATES OR MORE,1601/3488,62/159,4.0183,MOROGORO,56,60,0,60,0,0,60,0,4,3,49,4
S0523 NAMTUMBO,CENTRE WITH LESS THAN 40 CANDIDATES,543/1371,23/74,3.9201,RUVUMA,10,11,0,11,0,0,11,0,0,3,7,1
S0524 RUJEWA,CENTRE WITH 40 CANDIDATES OR MORE,789/3488,45/174,3.7197,MBEYA,198,225,3,222,0,0,222,9,32,52,105,24
S0525 MKONOWAMARA,CENTRE WITH LESS THAN 40 CANDIDATES,841/1371,44/76,4.1303,MOROGORO,20,24,0,24,0,0,24,0,3,0,17,4
S0526 MRINGA,CENTRE WITH 40 CANDIDATES OR MORE,2069/3488,125/173,4.1179,ARUSHA,165,230,4,226,0,0,226,2,9,44,110,61
S0527 ULAYASI,CENTRE WITH 40 CANDIDATES OR MORE,2704/3488,77/89,4.2608,NJOMBE,39,62,1,61,0,0,61,0,3,8,28,22
S0528 SABA SABA,CENTRE WITH 40 CANDIDATES OR MORE,989/3488,15/99,3.8247,MTWARA,98,113,2,111,0,0,111,2,16,19,61,13
S0530 NDWIKA GIRLS,CENTRE WITH 40 CANDIDATES OR MORE,899/3488,13/99,3.7777,MTWARA,80,87,1,86,0,0,86,3,12,13,52,6
S0531 RUAHA,CENTRE WITH 40 CANDIDATES OR MORE,591/3488,23/130,3.4972,IRINGA,75,76,0,76,0,0,76,1,16,25,33,1
S0533 SARWATT,CENTRE WITH 40 CANDIDATES OR MORE,1258/3488,51/98,3.9203,MANYARA,151,186,4,182,0,0,182,2,21,32,96,31
S0534 ST. ANTHONY'S,CENTRE WITH 40 CANDIDATES OR MORE,283/3488,38/239,2.9438,DAR ES SALAAM,186,187,1,186,0,0,186,25,58,71,32,0
S0535 MAKOGA,CENTRE WITH 40 CANDIDATES OR MORE,1337/3488,36/89,3.9471,NJOMBE,72,95,0,95,0,0,95,1,8,24,39,23
S0536 KINDOROKO,CENTRE WITH LESS THAN 40 CANDIDATES,79/1371,7/46,3.0226,KILIMANJARO,39,39,0,39,0,0,39,4,13,12,10,0
